ZIP,population,median_income,median_year_structure_built,total_occupied_units,renter_occupied_units
00601,16834,17526.0,1980.0,5341,1601
00602,37642,20260.0,1978.0,12777,3147
00603,49075,17703.0,1980.0,19624,8366
00606,5590,19603.0,1978.0,1948,485
00610,25542,22796.0,1978.0,8781,2389
00611,1315,22525.0,1993.0,523,247
00612,63312,22305.0,1977.0,23286,8781
00616,9625,23652.0,1980.0,3150,1027
00617,22573,20328.0,1985.0,8234,2169
00622,7577,22818.0,1991.0,2996,851
00623,39406,23132.0,1985.0,14572,3656
00624,21648,20101.0,1983.0,7344,2210
00627,32733,23263.0,1985.0,11585,2812
00631,1431,15658.0,1975.0,480,202
00637,22882,20568.0,1984.0,7265,1585
00638,17605,19796.0,1984.0,5814,1552
00641,24299,17673.0,1981.0,8854,3546
00646,35926,31330.0,1984.0,12006,2443
00647,4702,17143.0,1982.0,1844,491
00650,13767,20363.0,1986.0,5245,1626
00652,3924,26148.0,1991.0,1412,390
00653,8980,13777.0,1981.0,3627,1161
00656,18121,21456.0,1977.0,6429,1730
00659,37066,23899.0,1987.0,13061,3495
00660,15483,22556.0,1975.0,6084,1790
00662,40480,20283.0,1983.0,14067,5551
00664,14967,17966.0,1984.0,5056,2095
00667,23370,16889.0,1983.0,8259,2568
00669,27529,18838.0,1984.0,9997,3369
00670,8746,16644.0,1981.0,2702,714
00674,39385,20088.0,1975.0,14691,3916
00676,36683,20160.0,1983.0,12956,4763
00677,15304,26404.0,1980.0,5741,1624
00678,25039,19558.0,1983.0,9059,3143
00680,43173,16535.0,1969.0,17577,7803
00682,30414,17385.0,1968.0,12077,6085
00683,29547,18132.0,1977.0,10904,3495
00685,40346,17481.0,1981.0,14312,4306
00687,28659,22282.0,1985.0,9810,2840
00688,11478,17273.0,1984.0,3950,1446
00690,5781,23343.0,1990.0,2063,693
00692,33302,25289.0,1986.0,11968,3823
00693,55570,23791.0,1977.0,20435,5069
00698,33506,19818.0,1981.0,12264,3060
00703,24475,23045.0,1980.0,8993,3076
00704,6831,19845.0,1988.0,2443,543
00705,24401,22679.0,1984.0,8909,2026
00707,10487,21765.0,1983.0,3904,1122
00714,15797,18496.0,1978.0,6246,1425
00715,2040,16250.0,1977.0,780,157
00716,27166,20184.0,1975.0,11547,4047
00717,15029,14164.0,1968.0,6678,3354
00718,23289,20414.0,1984.0,8138,2233
00719,29523,20533.0,1980.0,8692,2855
00720,20816,16751.0,1983.0,6514,2129
00723,15978,20967.0,1989.0,6222,1967
00725,77244,25786.0,1977.0,30818,10977
00727,53258,33678.0,1984.0,20011,5765
00728,38590,21239.0,1978.0,13069,2853
00729,47826,26978.0,1983.0,16661,4373
00730,32267,17517.0,1973.0,12950,4223
00731,10473,16944.0,1984.0,3924,874
00735,11164,23125.0,1985.0,4234,1120
00736,45867,27158.0,1979.0,17707,6434
00738,30093,24643.0,1978.0,11898,3586
00739,34678,24887.0,1988.0,12418,4164
00740,2034,18784.0,1977.0,718,344
00741,3627,23821.0,1976.0,1338,231
00745,47494,26189.0,1984.0,16232,4423
00751,19570,20241.0,1980.0,7550,1747
00754,36576,19528.0,1985.0,13364,3763
00757,20048,22764.0,1986.0,7182,1452
00765,8199,17062.0,1983.0,2608,818
00766,22053,22511.0,1986.0,7808,1800
00767,30779,20126.0,1983.0,11808,3408
00769,34374,20236.0,1985.0,12770,2995
00771,34964,23343.0,1990.0,12150,2827
00772,17316,17209.0,1987.0,6408,2342
00773,17716,22585.0,1978.0,6800,2056
00775,1186,25483.0,1995.0,447,172
00777,37726,26052.0,1989.0,13415,3631
00778,40476,39484.0,1992.0,14840,3410
00780,13908,26075.0,1993.0,4779,564
00782,18639,16221.0,1981.0,5239,2329
00783,34205,21701.0,1979.0,10736,2630
00784,35917,19199.0,1979.0,14239,4210
00791,46537,26002.0,1982.0,16741,4242
00794,28335,21278.0,1985.0,8964,2892
00795,42900,22579.0,1984.0,14607,3658
00901,8220,27926.0,1938.0,3302,1823
00907,16607,40293.0,1967.0,8521,3247
00909,5260,25778.0,1971.0,2500,1477
00911,7087,38125.0,1966.0,3724,1926
00912,5955,27026.0,1963.0,2800,1325
00913,7068,6449.0,1948.0,3090,2517
00915,24713,12963.0,1957.0,10638,6319
00917,18544,17086.0,1965.0,8211,4039
00918,15976,35000.0,1970.0,7980,4069
00920,17293,28562.0,1955.0,7117,3302
00921,33555,21419.0,1962.0,13998,7416
00923,24760,18389.0,1964.0,10487,5771
00924,47080,21046.0,1968.0,19698,9541
00925,5556,13016.0,1955.0,2763,2220
00926,93751,38432.0,1977.0,36983,10010
00927,13766,40213.0,1967.0,6265,2927
00949,68031,31500.0,1977.0,25533,6617
00951,298,21354.0,1960.0,123,84
00952,8168,19392.0,1971.0,3138,1151
00953,66079,32957.0,1987.0,22376,4156
00956,65841,27243.0,1970.0,24889,7367
00957,41009,28240.0,1972.0,15345,4131
00959,47721,31603.0,1971.0,18030,6277
00961,29271,34141.0,1975.0,11572,3636
00962,19614,18478.0,1972.0,7634,3367
00965,5148,15872.0,1967.0,2044,787
00966,16451,51732.0,1976.0,6507,1777
00968,3554,55132.0,1976.0,1834,420
00969,41784,55929.0,1981.0,15537,4235
00971,26430,31484.0,1987.0,9593,3015
00976,61638,35661.0,1979.0,23447,6732
00979,16890,34705.0,1974.0,8770,2977
00982,13876,24244.0,1966.0,5727,2081
00983,31816,30595.0,1968.0,12773,4464
00985,32265,33270.0,1969.0,12400,3775
00987,54109,36396.0,1985.0,20134,5199
01001,16045,73398.0,1970.0,6611,1798
01002,22992,74265.0,1974.0,8782,4525
01005,4837,97409.0,1965.0,1681,98
01007,15368,99500.0,1985.0,6446,1001
01008,1231,93405.0,1962.0,531,29
01009,699,68510.0,1954.0,307,124
01010,3699,88438.0,1987.0,1480,197
01011,1318,80640.0,1957.0,512,99
01012,440,73906.0,1965.0,198,47
01013,22895,62000.0,1949.0,9350,4545
01020,30417,67617.0,1960.0,13311,4885
01022,2144,52207.0,1958.0,1077,306
01026,1073,83875.0,1950.0,479,90
01027,17711,69337.0,1964.0,8606,3178
01028,16273,100610.0,1966.0,5975,912
01029,527,93125.0,1967.0,241,19
01030,12561,87324.0,1970.0,4966,1165
01031,1697,51250.0,1938.0,676,325
01032,484,88077.0,1956.0,232,26
01033,6096,102248.0,1964.0,2686,277
01034,2065,104583.0,1976.0,843,46
01035,5295,112450.0,1966.0,2323,595
01036,4966,110320.0,1966.0,1971,95
01037,582,78047.0,1971.0,257,26
01038,2469,103125.0,1963.0,1058,276
01039,1728,109167.0,1973.0,720,84
01040,38210,49007.0,1948.0,15112,8840
01050,2714,84333.0,1962.0,1102,196
01053,1885,60875.0,1978.0,742,162
01054,1793,105833.0,1975.0,738,86
01056,20883,76395.0,1967.0,8502,2209
01057,8215,85614.0,1970.0,3473,571
01060,14724,79604.0,1938.0,7391,4011
01062,9491,87409.0,1962.0,4178,961
01066,134,20202.0,1971.0,69,0
01068,1585,93906.0,1983.0,613,42
01069,8516,71439.0,1971.0,3848,980
01070,571,60313.0,1972.0,261,25
01071,1259,105417.0,1967.0,530,62
01072,1413,99000.0,1978.0,614,67
01073,6185,114531.0,1979.0,2496,202
01074,694,88190.0,1938.0,180,119
01075,17115,92740.0,1961.0,7316,1702
01077,9244,106779.0,1979.0,3691,508
01080,2674,89335.0,1957.0,989,360
01081,1716,88636.0,1983.0,692,58
01082,10533,66607.0,1964.0,4843,1404
01083,2539,87511.0,1987.0,903,372
01085,41592,78901.0,1964.0,15767,5183
01088,725,51591.0,1938.0,390,163
01089,28755,67297.0,1962.0,12691,5484
01092,1428,69048.0,1938.0,618,254
01093,145,130781.0,1972.0,69,0
01095,14673,126689.0,1963.0,5382,531
01096,2516,106250.0,1969.0,1107,164
01098,951,91181.0,1963.0,467,21
01103,2245,21288.0,1938.0,1496,1379
01104,22606,47413.0,1950.0,9103,4879
01105,12045,23948.0,1938.0,5018,4452
01106,16019,137597.0,1957.0,5976,569
01107,12443,30825.0,1938.0,4290,3095
01108,26198,48465.0,1938.0,10505,5745
01109,31301,42928.0,1944.0,9623,5496
01118,15112,78354.0,1956.0,5724,1276
01119,14182,54326.0,1960.0,5173,1372
01128,3063,77050.0,1962.0,1102,66
01129,6486,80352.0,1967.0,2661,617
01151,9467,51410.0,1953.0,3615,2013
01201,45188,67262.0,1950.0,19874,7497
01220,8149,54677.0,1938.0,4041,1571
01222,623,78077.0,1976.0,238,0
01223,2565,79226.0,1975.0,1181,71
01225,3239,72485.0,1964.0,1547,176
01226,6332,76198.0,1957.0,2884,673
01230,9095,73884.0,1970.0,3776,919
01235,2461,71641.0,1976.0,1059,209
01236,1625,113958.0,1938.0,619,105
01237,2451,86300.0,1980.0,1042,38
01238,5928,77679.0,1959.0,2572,515
